Plot,X,Y
Metadata,1085,Gallery
Metadata,1085,Probe
Metadata,3297,Genuine
Metadata,1173928,Impostor
Metadata,0,Ignored
DET,8.51841e-06,0.999393
FAR,2.90834,8.51841e-06
FRR,2.90834,0.999393
DET,1.10739e-05,0.998787
FAR,2.74117,1.10739e-05
FRR,2.74117,0.998787
DET,1.27776e-05,0.99636
FAR,2.54462,1.27776e-05
FRR,2.54462,0.99636
DET,1.44813e-05,0.994541
FAR,2.39778,1.44813e-05
FRR,2.39778,0.994541
DET,1.78887e-05,0.993934
FAR,2.34695,1.78887e-05
FRR,2.34695,0.993934
DET,2.04442e-05,0.989688
FAR,2.12217,2.04442e-05
FRR,2.12217,0.989688
DET,2.29997e-05,0.988778
FAR,2.08941,2.29997e-05
FRR,2.08941,0.988778
DET,2.47034e-05,0.987564
FAR,2.06456,2.47034e-05
FRR,2.06456,0.987564
DET,2.64071e-05,0.986655
FAR,2.03406,2.64071e-05
FRR,2.03406,0.986655
DET,2.89626e-05,0.986048
FAR,2.01034,2.89626e-05
FRR,2.01034,0.986048
DET,3.237e-05,0.983015
FAR,1.93805,3.237e-05
FRR,1.93805,0.983015
DET,3.40736e-05,0.981498
FAR,1.90416,3.40736e-05
FRR,1.90416,0.981498
DET,3.57773e-05,0.980892
FAR,1.88609,3.57773e-05
FRR,1.88609,0.980892
DET,3.7481e-05,0.979982
FAR,1.84655,3.7481e-05
FRR,1.84655,0.979982
DET,4.00365e-05,0.979375
FAR,1.833,4.00365e-05
FRR,1.833,0.979375
DET,4.25921e-05,0.977859
FAR,1.80815,4.25921e-05
FRR,1.80815,0.977859
DET,4.59994e-05,0.977252
FAR,1.78556,4.59994e-05
FRR,1.78556,0.977252
DET,4.77031e-05,0.973006
FAR,1.74489,4.77031e-05
FRR,1.74489,0.973006
DET,4.94068e-05,0.972096
FAR,1.73812,4.94068e-05
FRR,1.73812,0.972096
DET,5.11105e-05,0.971489
FAR,1.7336,5.11105e-05
FRR,1.7336,0.971489
DET,5.53697e-05,0.970579
FAR,1.7223,5.53697e-05
FRR,1.7223,0.970579
DET,5.79252e-05,0.969669
FAR,1.70988,5.79252e-05
FRR,1.70988,0.969669
DET,5.96289e-05,0.969063
FAR,1.70423,5.96289e-05
FRR,1.70423,0.969063
DET,6.13326e-05,0.966333
FAR,1.68842,6.13326e-05
FRR,1.68842,0.966333
DET,6.89991e-05,0.964817
FAR,1.67599,6.89991e-05
FRR,1.67599,0.964817
DET,7.24065e-05,0.963603
FAR,1.66244,7.24065e-05
FRR,1.66244,0.963603
DET,7.58138e-05,0.962997
FAR,1.65453,7.58138e-05
FRR,1.65453,0.962997
DET,8.26286e-05,0.961783
FAR,1.64549,8.26286e-05
FRR,1.64549,0.961783
DET,8.43323e-05,0.960874
FAR,1.63871,8.43323e-05
FRR,1.63871,0.960874
DET,8.68878e-05,0.95966
FAR,1.62742,8.68878e-05
FRR,1.62742,0.95966
DET,9.37025e-05,0.958447
FAR,1.61725,9.37025e-05
FRR,1.61725,0.958447
DET,0.000103073,0.95784
FAR,1.60709,0.000103073
FRR,1.60709,0.95784
DET,0.000105628,0.957234
FAR,1.60144,0.000105628
FRR,1.60144,0.957234
DET,0.000108184,0.956021
FAR,1.59466,0.000108184
FRR,1.59466,0.956021
DET,0.000113295,0.955111
FAR,1.5845,0.000113295
FRR,1.5845,0.955111
DET,0.000124369,0.954504
FAR,1.5732,0.000124369
FRR,1.5732,0.954504
DET,0.000133739,0.953594
FAR,1.56077,0.000133739
FRR,1.56077,0.953594
DET,0.000135443,0.952684
FAR,1.55739,0.000135443
FRR,1.55739,0.952684
DET,0.000143109,0.951774
FAR,1.54609,0.000143109
FRR,1.54609,0.951774
DET,0.00014822,0.950258
FAR,1.53367,0.00014822
FRR,1.53367,0.950258
DET,0.000157591,0.948741
FAR,1.51785,0.000157591
FRR,1.51785,0.948741
DET,0.000164405,0.947831
FAR,1.51107,0.000164405
FRR,1.51107,0.947831
DET,0.000166961,0.947225
FAR,1.50769,0.000166961
FRR,1.50769,0.947225
DET,0.000172072,0.946012
FAR,1.50204,0.000172072
FRR,1.50204,0.946012
DET,0.000191664,0.944192
FAR,1.48622,0.000191664
FRR,1.48622,0.944192
DET,0.000198479,0.943585
FAR,1.48058,0.000198479
FRR,1.48058,0.943585
DET,0.000201886,0.942675
FAR,1.47832,0.000201886
FRR,1.47832,0.942675
DET,0.000208701,0.941462
