Plot,X,Y
Metadata,1085,Gallery
Metadata,1085,Probe
Metadata,3297,Genuine
Metadata,1173928,Impostor
Metadata,0,Ignored
DET,8.51841e-06,0.579618
FAR,1.87931,8.51841e-06
FRR,1.87931,0.579618
DET,9.37025e-06,0.576888
FAR,1.87366,9.37025e-06
FRR,1.87366,0.576888
DET,1.19258e-05,0.572642
FAR,1.85785,1.19258e-05
FRR,1.85785,0.572642
DET,1.36295e-05,0.554443
FAR,1.80815,1.36295e-05
FRR,1.80815,0.554443
DET,1.44813e-05,0.55414
FAR,1.80589,1.44813e-05
FRR,1.80589,0.55414
DET,1.6185e-05,0.540188
FAR,1.77539,1.6185e-05
FRR,1.77539,0.540188
DET,1.78887e-05,0.532302
FAR,1.76184,1.78887e-05
FRR,1.76184,0.532302
DET,1.95923e-05,0.527753
FAR,1.74941,1.95923e-05
FRR,1.74941,0.527753
DET,2.04442e-05,0.524113
FAR,1.7415,2.04442e-05
FRR,1.7415,0.524113
DET,2.21479e-05,0.523506
FAR,1.73925,2.21479e-05
FRR,1.73925,0.523506
DET,2.55552e-05,0.52199
FAR,1.7336,2.55552e-05
FRR,1.7336,0.52199
DET,2.72589e-05,0.518957
FAR,1.73021,2.72589e-05
FRR,1.73021,0.518957
DET,2.81108e-05,0.517137
FAR,1.7223,2.81108e-05
FRR,1.7223,0.517137
DET,2.98144e-05,0.511981
FAR,1.71214,2.98144e-05
FRR,1.71214,0.511981
DET,3.15181e-05,0.505005
FAR,1.69745,3.15181e-05
FRR,1.69745,0.505005
DET,3.237e-05,0.504701
FAR,1.69406,3.237e-05
FRR,1.69406,0.504701
DET,3.40736e-05,0.498938
FAR,1.68051,3.40736e-05
FRR,1.68051,0.498938
DET,3.57773e-05,0.495905
FAR,1.67486,3.57773e-05
FRR,1.67486,0.495905
DET,3.7481e-05,0.491659
FAR,1.66695,3.7481e-05
FRR,1.66695,0.491659
DET,3.91847e-05,0.490446
FAR,1.66469,3.91847e-05
FRR,1.66469,0.490446
DET,4.08884e-05,0.487716
FAR,1.66018,4.08884e-05
FRR,1.66018,0.487716
DET,4.34439e-05,0.486806
FAR,1.65566,4.34439e-05
FRR,1.65566,0.486806
DET,4.51476e-05,0.485896
FAR,1.65227,4.51476e-05
FRR,1.65227,0.485896
DET,4.68513e-05,0.483773
FAR,1.64775,4.68513e-05
FRR,1.64775,0.483773
DET,5.02586e-05,0.482863
FAR,1.64436,5.02586e-05
FRR,1.64436,0.482863
DET,5.19623e-05,0.479527
FAR,1.63759,5.19623e-05
FRR,1.63759,0.479527
DET,5.62215e-05,0.478617
FAR,1.6342,5.62215e-05
FRR,1.6342,0.478617
DET,5.79252e-05,0.476494
FAR,1.62855,5.79252e-05
FRR,1.62855,0.476494
DET,5.96289e-05,0.474977
FAR,1.62403,5.96289e-05
FRR,1.62403,0.474977
DET,6.21844e-05,0.473764
FAR,1.61725,6.21844e-05
FRR,1.61725,0.473764
DET,6.38881e-05,0.471641
FAR,1.61386,6.38881e-05
FRR,1.61386,0.471641
DET,6.55918e-05,0.469821
FAR,1.60935,6.55918e-05
FRR,1.60935,0.469821
DET,6.89991e-05,0.468608
FAR,1.60483,6.89991e-05
FRR,1.60483,0.468608
DET,7.24065e-05,0.466485
FAR,1.59805,7.24065e-05
FRR,1.59805,0.466485
DET,7.32583e-05,0.464362
FAR,1.59127,7.32583e-05
FRR,1.59127,0.464362
DET,7.4962e-05,0.462845
FAR,1.58901,7.4962e-05
FRR,1.58901,0.462845
DET,7.75175e-05,0.460722
FAR,1.5845,7.75175e-05
FRR,1.5845,0.460722
DET,8.00731e-05,0.457385
FAR,1.57659,8.00731e-05
FRR,1.57659,0.457385
DET,8.09249e-05,0.456476
FAR,1.57546,8.09249e-05
FRR,1.57546,0.456476
DET,8.43323e-05,0.454352
FAR,1.5732,8.43323e-05
FRR,1.5732,0.454352
DET,8.85915e-05,0.451016
FAR,1.56868,8.85915e-05
FRR,1.56868,0.451016
DET,9.37025e-05,0.450713
FAR,1.56416,9.37025e-05
FRR,1.56416,0.450713
DET,9.71099e-05,0.447983
FAR,1.5619,9.71099e-05
FRR,1.5619,0.447983
DET,9.88136e-05,0.446163
FAR,1.55626,9.88136e-05
FRR,1.55626,0.446163
DET,0.000101369,0.445253
FAR,1.554,0.000101369
FRR,1.554,0.445253
DET,0.00010648,0.444343
FAR,1.55061,0.00010648
FRR,1.55061,0.444343
