Plot,X,Y
Metadata,518,Gallery
Metadata,698,Probe
Metadata,698,Genuine
Metadata,360866,Impostor
Metadata,0,Ignored
DET,2.77111e-05,0.617478
FAR,1.15413,2.77111e-05
FRR,1.15413,0.617478
DET,3.04822e-05,0.613181
FAR,1.14961,3.04822e-05
FRR,1.14961,0.613181
DET,3.60245e-05,0.611748
FAR,1.14623,3.60245e-05
FRR,1.14623,0.611748
DET,3.87956e-05,0.60745
FAR,1.14058,3.87956e-05
FRR,1.14058,0.60745
DET,4.15667e-05,0.597421
FAR,1.12815,4.15667e-05
FRR,1.12815,0.597421
DET,4.71089e-05,0.594556
FAR,1.12702,4.71089e-05
FRR,1.12702,0.594556
DET,4.988e-05,0.593123
FAR,1.12589,4.988e-05
FRR,1.12589,0.593123
DET,5.81933e-05,0.591691
FAR,1.11573,5.81933e-05
FRR,1.11573,0.591691
DET,6.09645e-05,0.590258
FAR,1.11347,6.09645e-05
FRR,1.11347,0.590258
DET,6.37356e-05,0.587393
FAR,1.10895,6.37356e-05
FRR,1.10895,0.587393
DET,6.65067e-05,0.58596
FAR,1.10443,6.65067e-05
FRR,1.10443,0.58596
DET,6.92778e-05,0.578797
FAR,1.09765,6.92778e-05
FRR,1.09765,0.578797
DET,7.20489e-05,0.577364
FAR,1.09427,7.20489e-05
FRR,1.09427,0.577364
DET,7.482e-05,0.574499
FAR,1.09201,7.482e-05
FRR,1.09201,0.574499
DET,7.75911e-05,0.573066
FAR,1.08862,7.75911e-05
FRR,1.08862,0.573066
DET,8.03622e-05,0.568768
FAR,1.08523,8.03622e-05
FRR,1.08523,0.568768
DET,8.31334e-05,0.565903
FAR,1.08184,8.31334e-05
FRR,1.08184,0.565903
DET,8.86756e-05,0.563037
FAR,1.07958,8.86756e-05
FRR,1.07958,0.563037
DET,9.976e-05,0.561605
FAR,1.06829,9.976e-05
FRR,1.06829,0.561605
DET,0.000102531,0.560172
FAR,1.0649,0.000102531
FRR,1.0649,0.560172
DET,0.000105302,0.558739
FAR,1.06151,0.000105302
FRR,1.06151,0.558739
DET,0.000108073,0.557307
FAR,1.05586,0.000108073
FRR,1.05586,0.557307
DET,0.000110844,0.554441
FAR,1.04908,0.000110844
FRR,1.04908,0.554441
DET,0.000113616,0.551576
FAR,1.04795,0.000113616
FRR,1.04795,0.551576
DET,0.0001247,0.550143
FAR,1.04231,0.0001247
FRR,1.04231,0.550143
DET,0.000127471,0.548711
FAR,1.04005,0.000127471
FRR,1.04005,0.548711
DET,0.000141327,0.544413
FAR,1.03666,0.000141327
FRR,1.03666,0.544413
DET,0.000144098,0.540115
FAR,1.03101,0.000144098
FRR,1.03101,0.540115
DET,0.00014964,0.537249
FAR,1.02536,0.00014964
FRR,1.02536,0.537249
DET,0.000160724,0.535817
FAR,1.0231,0.000160724
FRR,1.0231,0.535817
DET,0.000163496,0.534384
FAR,1.02197,0.000163496
FRR,1.02197,0.534384
DET,0.000166267,0.532951
FAR,1.0152,0.000166267
FRR,1.0152,0.532951
DET,0.000169038,0.530086
FAR,1.01294,0.000169038
FRR,1.01294,0.530086
DET,0.000180122,0.528653
FAR,1.01068,0.000180122
FRR,1.01068,0.528653
DET,0.000185664,0.527221
FAR,1.00955,0.000185664
FRR,1.00955,0.527221
DET,0.000193978,0.525788
FAR,1.00729,0.000193978
FRR,1.00729,0.525788
DET,0.00019952,0.524355
FAR,1.00503,0.00019952
FRR,1.00503,0.524355
DET,0.000202291,0.522923
FAR,1.00277,0.000202291
FRR,1.00277,0.522923
DET,0.000205062,0.517192
FAR,1.00051,0.000205062
FRR,1.00051,0.517192
DET,0.000207833,0.514327
FAR,0.997123,0.000207833
FRR,0.997123,0.514327
DET,0.000216147,0.512894
FAR,0.993734,0.000216147
FRR,0.993734,0.512894
DET,0.000230002,0.511461
FAR,0.990346,0.000230002
FRR,0.990346,0.511461
DET,0.000232773,0.510029
FAR,0.989216,0.000232773
FRR,0.989216,0.510029
DET,0.000235544,0.507163
FAR,0.988087,0.000235544
FRR,0.988087,0.507163
DET,0.000238316,0.505731
FAR,0.985827,0.000238316
FRR,0.985827,0.505731
DET,0.000241087,0.504298
FAR,0.983568,0.000241087
FRR,0.983568,0.504298
DET,0.000243858,0.501433
FAR,0.981309,0.000243858
FRR,0.981309,0.501433
DET,0.000260484,0.498567
