Plot,X,Y
Metadata,16000,Gallery
Metadata,16000,Probe
Metadata,16000,Genuine
Metadata,255968000,Impostor
Metadata,16000,Ignored
DET,3.90674e-08,0.960375
FAR,2.01599,3.90674e-08
FRR,2.01599,0.960375
DET,5.46943e-08,0.940375
FAR,1.92336,5.46943e-08
FRR,1.92336,0.940375
DET,7.03213e-08,0.934125
FAR,1.89625,7.03213e-08
FRR,1.89625,0.934125
DET,9.37617e-08,0.923875
FAR,1.85672,9.37617e-08
FRR,1.85672,0.923875
DET,1.09389e-07,0.9145
FAR,1.82283,1.09389e-07
FRR,1.82283,0.9145
DET,1.32829e-07,0.89125
FAR,1.75054,1.32829e-07
FRR,1.75054,0.89125
DET,1.5627e-07,0.878
FAR,1.70762,1.5627e-07
FRR,1.70762,0.878
DET,1.71896e-07,0.86275
FAR,1.66357,1.71896e-07
FRR,1.66357,0.86275
DET,1.95337e-07,0.852875
FAR,1.64097,1.95337e-07
FRR,1.64097,0.852875
DET,2.10964e-07,0.844125
FAR,1.61951,2.10964e-07
FRR,1.61951,0.844125
DET,2.34404e-07,0.825375
FAR,1.57998,2.34404e-07
FRR,1.57998,0.825375
DET,2.57845e-07,0.8165
FAR,1.5619,2.57845e-07
FRR,1.5619,0.8165
DET,2.81285e-07,0.8115
FAR,1.55287,2.81285e-07
FRR,1.55287,0.8115
DET,2.96912e-07,0.797375
FAR,1.5235,2.96912e-07
FRR,1.5235,0.797375
DET,3.20353e-07,0.79575
FAR,1.51898,3.20353e-07
FRR,1.51898,0.79575
DET,3.43793e-07,0.7925
FAR,1.51107,3.43793e-07
FRR,1.51107,0.7925
DET,3.67233e-07,0.79125
FAR,1.50881,3.67233e-07
FRR,1.50881,0.79125
DET,4.14114e-07,0.78125
FAR,1.48622,4.14114e-07
FRR,1.48622,0.78125
DET,4.29741e-07,0.78
FAR,1.48396,4.29741e-07
FRR,1.48396,0.78
DET,4.45368e-07,0.777625
FAR,1.47832,4.45368e-07
FRR,1.47832,0.777625
DET,4.76622e-07,0.769
FAR,1.46363,4.76622e-07
FRR,1.46363,0.769
DET,5.00063e-07,0.76725
FAR,1.46024,5.00063e-07
FRR,1.46024,0.76725
DET,5.23503e-07,0.754875
FAR,1.43991,5.23503e-07
FRR,1.43991,0.754875
DET,5.6257e-07,0.75325
FAR,1.43652,5.6257e-07
FRR,1.43652,0.75325
DET,5.93824e-07,0.744875
FAR,1.42636,5.93824e-07
FRR,1.42636,0.744875
DET,6.17265e-07,0.74
FAR,1.41619,6.17265e-07
FRR,1.41619,0.74
DET,6.32892e-07,0.738625
FAR,1.41393,6.32892e-07
FRR,1.41393,0.738625
DET,6.79772e-07,0.733625
FAR,1.4049,6.79772e-07
FRR,1.4049,0.733625
DET,6.95399e-07,0.728875
FAR,1.39699,6.95399e-07
FRR,1.39699,0.728875
DET,7.26653e-07,0.721625
FAR,1.38682,7.26653e-07
FRR,1.38682,0.721625
DET,7.65721e-07,0.71925
FAR,1.38343,7.65721e-07
FRR,1.38343,0.71925
DET,7.96975e-07,0.71775
FAR,1.38004,7.96975e-07
FRR,1.38004,0.71775
DET,8.20415e-07,0.71325
FAR,1.3744,8.20415e-07
FRR,1.3744,0.71325
DET,8.43856e-07,0.712125
FAR,1.37101,8.43856e-07
FRR,1.37101,0.712125
DET,8.82923e-07,0.7095
FAR,1.36649,8.82923e-07
FRR,1.36649,0.7095
DET,9.06363e-07,0.705375
FAR,1.36084,9.06363e-07
FRR,1.36084,0.705375
DET,9.37617e-07,0.70175
FAR,1.35519,9.37617e-07
FRR,1.35519,0.70175
DET,9.76685e-07,0.6955
FAR,1.34277,9.76685e-07
FRR,1.34277,0.6955
DET,1.00794e-06,0.693125
FAR,1.33938,1.00794e-06
FRR,1.33938,0.693125
DET,1.04701e-06,0.691
FAR,1.33599,1.04701e-06
FRR,1.33599,0.691
DET,1.07045e-06,0.68875
FAR,1.3326,1.07045e-06
FRR,1.3326,0.68875
DET,1.1017e-06,0.68625
FAR,1.32921,1.1017e-06
FRR,1.32921,0.68625
DET,1.14077e-06,0.685
FAR,1.32696,1.14077e-06
FRR,1.32696,0.685
DET,1.17202e-06,0.68125
FAR,1.32244,1.17202e-06
FRR,1.32244,0.68125
DET,1.21109e-06,0.679375
FAR,1.31792,1.21109e-06
FRR,1.31792,0.679375
DET,1.25016e-06,0.67775
FAR,1.31453,1.25016e-06
FRR,1.31453,0.67775
DET,1.32048e-06,0.6755
FAR,1.31114,1.32048e-06
FRR,1.31114,0.6755
DET,1.3361e-06,0.673375
FAR,1.30775,1.3361e-06
FRR,1.30775,0.673375
DET,1.3908e-06,0.668875
FAR,1.30323,1.3908e-06
FRR,1.30323,0.668875
DET,1.40643e-06,0.667
FAR,1.30098,1.40643e-06
FRR,1.30098,0.667
DET,1.42205e-06,0.664125
FAR,1.29759,1.42205e-06
FRR,1.29759,0.664125
DET,1.46112e-06,0.66
FAR,1.29194,1.46112e-06
FRR,1.29194,0.66
DET,1.47675e-06,0.65875
FAR,1.28968,1.47675e-06
FRR,1.28968,0.65875
DET,1.52363e-06,0.65625
FAR,1.28629,1.52363e-06
FRR,1.28629,0.65625
DET,1.55488e-06,0.655375
FAR,1.28403,1.55488e-06
FRR,1.28403,0.655375
DET,1.61739e-06,0.653625
FAR,1.28064,1.61739e-06
FRR,1.28064,0.653625
DET,1.65646e-06,0.6515
FAR,1.27725,1.65646e-06
FRR,1.27725,0.6515
DET,1.67208e-06,0.65
FAR,1.275,1.67208e-06
FRR,1.275,0.65
DET,1.70334e-06,0.6465
FAR,1.27048,1.70334e-06
FRR,1.27048,0.6465
DET,1.71896e-06,0.64525
FAR,1.26822,1.71896e-06
FRR,1.26822,0.64525
DET,1.75022e-06,0.6425
FAR,1.26483,1.75022e-06
FRR,1.26483,0.6425
DET,1.77366e-06,0.640875
FAR,1.26257,1.77366e-06
FRR,1.26257,0.640875
DET,1.80491e-06,0.6395
FAR,1.26031,1.80491e-06
FRR,1.26031,0.6395
DET,1.85961e-06,0.63575
FAR,1.25466,1.85961e-06
FRR,1.25466,0.63575
DET,1.88305e-06,0.634
FAR,1.2524,1.88305e-06
FRR,1.2524,0.634
DET,1.9143e-06,0.63225
FAR,1.24902,1.9143e-06
FRR,1.24902,0.63225
DET,1.94556e-06,0.6305
FAR,1.24676,1.94556e-06
FRR,1.24676,0.6305
DET,2.03932e-06,0.627875
FAR,1.24224,2.03932e-06
FRR,1.24224,0.627875
DET,2.07838e-06,0.626875
FAR,1.23998,2.07838e-06
FRR,1.23998,0.626875
DET,2.10964e-06,0.62475
FAR,1.23772,2.10964e-06
FRR,1.23772,0.62475
DET,2.18777e-06,0.622
FAR,1.23433,2.18777e-06
FRR,1.23433,0.622
DET,2.23465e-06,0.62
FAR,1.23207,2.23465e-06
FRR,1.23207,0.62
DET,2.30498e-06,0.6165
FAR,1.22868,2.30498e-06
FRR,1.22868,0.6165
DET,2.32842e-06,0.614875
FAR,1.22642,2.32842e-06
FRR,1.22642,0.614875
DET,2.35967e-06,0.61375
FAR,1.22417,2.35967e-06
FRR,1.22417,0.61375
DET,2.39092e-06,0.611875
FAR,1.22078,2.39092e-06
FRR,1.22078,0.611875
DET,2.42999e-06,0.610625
FAR,1.21852,2.42999e-06
FRR,1.21852,0.610625
DET,2.47687e-06,0.60875
FAR,1.21513,2.47687e-06
FRR,1.21513,0.60875
DET,2.50813e-06,0.607625
FAR,1.21287,2.50813e-06
FRR,1.21287,0.607625
DET,2.61751e-06,0.604375
FAR,1.20948,2.61751e-06
FRR,1.20948,0.604375
DET,2.69565e-06,0.603
FAR,1.20722,2.69565e-06
FRR,1.20722,0.603
DET,2.77378e-06,0.601625
FAR,1.20496,2.77378e-06
FRR,1.20496,0.601625
DET,2.82848e-06,0.599625
FAR,1.20157,2.82848e-06
FRR,1.20157,0.599625
DET,2.87536e-06,0.59825
FAR,1.19931,2.87536e-06
FRR,1.19931,0.59825
DET,2.97693e-06,0.59575
FAR,1.19593,2.97693e-06
FRR,1.19593,0.59575
DET,3.03163e-06,0.594375
FAR,1.19367,3.03163e-06
FRR,1.19367,0.594375
DET,3.11758e-06,0.591875
FAR,1.18915,3.11758e-06
FRR,1.18915,0.591875
DET,3.17227e-06,0.5905
FAR,1.18576,3.17227e-06
FRR,1.18576,0.5905
DET,3.21915e-06,0.588125
FAR,1.1835,3.21915e-06
FRR,1.1835,0.588125
DET,3.25822e-06,0.584625
FAR,1.18011,3.25822e-06
FRR,1.18011,0.584625
DET,3.31291e-06,0.582875
FAR,1.17785,3.31291e-06
FRR,1.17785,0.582875
DET,3.36761e-06,0.58025
FAR,1.17446,3.36761e-06
FRR,1.17446,0.58025
DET,3.4223e-06,0.578375
FAR,1.17108,3.4223e-06
FRR,1.17108,0.578375
DET,3.46918e-06,0.5765
FAR,1.16882,3.46918e-06
FRR,1.16882,0.5765
DET,3.57857e-06,0.574625
FAR,1.16543,3.57857e-06
FRR,1.16543,0.574625
DET,3.64889e-06,0.57275
FAR,1.16317,3.64889e-06
FRR,1.16317,0.57275
DET,3.7661e-06,0.57025
FAR,1.15978,3.7661e-06
FRR,1.15978,0.57025
DET,3.82079e-06,0.5685
FAR,1.15752,3.82079e-06
FRR,1.15752,0.5685
DET,3.92237e-06,0.565875
FAR,1.15413,3.92237e-06
FRR,1.15413,0.565875
DET,3.96143e-06,0.5645
FAR,1.15187,3.96143e-06
FRR,1.15187,0.5645
DET,4.0005e-06,0.56275
FAR,1.14961,4.0005e-06
FRR,1.14961,0.56275
DET,4.09426e-06,0.560125
FAR,1.14623,4.09426e-06
FRR,1.14623,0.560125
DET,4.16458e-06,0.558875
FAR,1.14397,4.16458e-06
FRR,1.14397,0.558875
DET,4.27397e-06,0.5565
FAR,1.14058,4.27397e-06
FRR,1.14058,0.5565
DET,4.32867e-06,0.555
FAR,1.13832,4.32867e-06
FRR,1.13832,0.555
DET,4.39117e-06,0.553875
FAR,1.13606,4.39117e-06
FRR,1.13606,0.553875
DET,4.49275e-06,0.55175
FAR,1.13267,4.49275e-06
FRR,1.13267,0.55175
DET,4.59432e-06,0.551
FAR,1.13041,4.59432e-06
FRR,1.13041,0.551
DET,4.67246e-06,0.548875
FAR,1.12702,4.67246e-06
FRR,1.12702,0.548875
DET,4.73497e-06,0.546875
FAR,1.12476,4.73497e-06
FRR,1.12476,0.546875
DET,4.85998e-06,0.543875
FAR,1.12137,4.85998e-06
FRR,1.12137,0.543875
DET,4.96156e-06,0.542625
FAR,1.11912,4.96156e-06
FRR,1.11912,0.542625
DET,5.01625e-06,0.5415
FAR,1.11686,5.01625e-06
FRR,1.11686,0.5415
DET,5.12564e-06,0.539625
FAR,1.11347,5.12564e-06
FRR,1.11347,0.539625
DET,5.23503e-06,0.538875
FAR,1.11121,5.23503e-06
FRR,1.11121,0.538875
DET,5.3913e-06,0.53575
FAR,1.10782,5.3913e-06
FRR,1.10782,0.53575
DET,5.46943e-06,0.534125
FAR,1.10556,5.46943e-06
FRR,1.10556,0.534125
DET,5.61789e-06,0.532
FAR,1.10217,5.61789e-06
FRR,1.10217,0.532
DET,5.74291e-06,0.531125
FAR,1.09991,5.74291e-06
FRR,1.09991,0.531125
