Plot,X,Y
Metadata,1085,Gallery
Metadata,1085,Probe
Metadata,3297,Genuine
Metadata,1173928,Impostor
Metadata,0,Ignored
DET,2.81108e-05,0.999697
FAR,2.87107,2.81108e-05
FRR,2.87107,0.999697
DET,2.89626e-05,0.999393
FAR,2.84848,2.89626e-05
FRR,2.84848,0.999393
DET,3.7481e-05,0.99909
FAR,2.70389,3.7481e-05
FRR,2.70389,0.99909
DET,5.3666e-05,0.998483
FAR,2.45991,5.3666e-05
FRR,2.45991,0.998483
DET,5.45178e-05,0.99818
FAR,2.44522,5.45178e-05
FRR,2.44522,0.99818
DET,6.30362e-05,0.997574
FAR,2.28031,6.30362e-05
FRR,2.28031,0.997574
DET,6.38881e-05,0.99727
FAR,2.2611,6.38881e-05
FRR,2.2611,0.99727
DET,7.07028e-05,0.996664
FAR,2.20801,7.07028e-05
FRR,2.20801,0.996664
DET,7.15546e-05,0.99636
FAR,2.19333,7.15546e-05
FRR,2.19333,0.99636
DET,7.32583e-05,0.995754
FAR,2.15831,7.32583e-05
FRR,2.15831,0.995754
DET,7.58138e-05,0.99545
FAR,2.14815,7.58138e-05
FRR,2.14815,0.99545
DET,8.09249e-05,0.994844
FAR,2.08828,8.09249e-05
FRR,2.08828,0.994844
DET,8.34804e-05,0.994541
FAR,2.07021,8.34804e-05
FRR,2.07021,0.994541
DET,9.6258e-05,0.993934
FAR,2.0126,9.6258e-05
FRR,2.0126,0.993934
DET,9.96654e-05,0.993631
FAR,1.98888,9.96654e-05
FRR,1.98888,0.993631
DET,0.000113295,0.993024
FAR,1.92675,0.000113295
FRR,1.92675,0.993024
DET,0.000116702,0.992721
FAR,1.91546,0.000116702
FRR,1.91546,0.992721
DET,0.00012011,0.991811
FAR,1.894,0.00012011
FRR,1.894,0.991811
DET,0.000128628,0.991507
FAR,1.8714,0.000128628
FRR,1.8714,0.991507
DET,0.000140554,0.990901
FAR,1.84317,0.000140554
FRR,1.84317,0.990901
DET,0.000169516,0.990597
FAR,1.78217,0.000169516
FRR,1.78217,0.990597
DET,0.000209553,0.989991
FAR,1.73473,0.000209553
FRR,1.73473,0.989991
DET,0.000229997,0.989688
FAR,1.70875,0.000229997
FRR,1.70875,0.989688
DET,0.000305811,0.989081
FAR,1.64662,0.000305811
FRR,1.64662,0.989081
DET,0.000324551,0.988778
FAR,1.63871,0.000324551
FRR,1.63871,0.988778
DET,0.000355218,0.988171
FAR,1.61725,0.000355218
FRR,1.61725,0.988171
DET,0.000419958,0.987868
FAR,1.58111,0.000419958
FRR,1.58111,0.987868
DET,0.000479586,0.986958
FAR,1.55061,0.000479586
FRR,1.55061,0.986958
DET,0.000489809,0.986655
FAR,1.54496,0.000489809
FRR,1.54496,0.986655
DET,0.000529845,0.986048
FAR,1.53141,0.000529845
FRR,1.53141,0.986048
DET,0.000548586,0.985745
FAR,1.52237,0.000548586
FRR,1.52237,0.985745
DET,0.000565622,0.985138
FAR,1.51672,0.000565622
FRR,1.51672,0.985138
DET,0.000615881,0.984835
FAR,1.49978,0.000615881
FRR,1.49978,0.984835
DET,0.000781138,0.984228
FAR,1.44669,0.000781138
FRR,1.44669,0.984228
DET,0.000809249,0.983925
FAR,1.43991,0.000809249
FRR,1.43991,0.983925
DET,0.000875693,0.983318
FAR,1.42636,0.000875693
FRR,1.42636,0.983318
DET,0.000908914,0.983015
FAR,1.41732,0.000908914
FRR,1.41732,0.983015
DET,0.00106225,0.982408
FAR,1.38795,0.00106225
FRR,1.38795,0.982408
DET,0.00107502,0.982105
FAR,1.38569,0.00107502
FRR,1.38569,0.982105
DET,0.00112613,0.981195
FAR,1.37553,0.00112613
FRR,1.37553,0.981195
DET,0.0011568,0.980892
FAR,1.36988,0.0011568
FRR,1.36988,0.980892
DET,0.00120791,0.980285
FAR,1.36084,0.00120791
FRR,1.36084,0.980285
DET,0.00125647,0.979982
FAR,1.35181,0.00125647
FRR,1.35181,0.979982
DET,0.0013638,0.979375
FAR,1.33373,0.0013638
FRR,1.33373,0.979375
DET,0.00144728,0.979072
FAR,1.32018,0.00144728
FRR,1.32018,0.979072
DET,0.00155461,0.978162
FAR,1.30549,0.00155461
FRR,1.30549,0.978162
DET,0.00159209,0.977859
FAR,1.29985,0.00159209
FRR,1.29985,0.977859
DET,0.00186724,0.977252
FAR,1.26483,0.00186724
FRR,1.26483,0.977252
DET,0.00191323,0.976949
FAR,1.25918,0.00191323
